Название;Цена
ПК корпус Jonsbo D31 STD SCREEN MiniTower, window, White mATX (D31 STD SC White);99 490 ₸
ПК корпус Gigabyte C200 GLASS MidTower, window, Black ATX (GB-C200G);38 590 ₸
Блок питания 550W GameMax GP-550 ATX 24+4pin, 4+4pin (GP-550);17 590 ₸
Система жидкостного охлаждения для CPU Jonsbo HXW-240 ARGB White;33 990 ₸
Акриловая трубка Bykski B-YKL16WP 16/12mm 1m;1 490 ₸
Помпа Bykski CP-NWD5-X-V2 (1100л/ч, макс 3.8 метров);44 990 ₸
Карта видеозахвата AverMedia Live Gamer DUO (GC570D);125 300 ₸
Система жидкостного охлаждения для CPU Deepcool LT520 Black [R-LT520-BKAMNF-G-1];56 390 ₸
ПК корпус Thermaltake The Tower 300 MiniTower, window, Matcha Green mATX [CA-1Y4-00SEWN-00];76 990 ₸
Кулер для кейса Formula V AIR BRIDGE PLUS BK 3in1 ARGB Black [AIR BRIDGE PLUS BK];18 390 ₸
Блок питания 400W X-Game Shadow 400W-RGB ATX 20+4pin, 4+4pin (Shadow 400W-RGB);6 990 ₸
Система жидкостного охлаждения для CPU Corsair iCUE H100i 240 RGB ELITE BK (LGA1700/AM5);65 480 ₸
Система жидкостного охлаждения для CPU 1STPLAYER CC 360 Black [CC 360 BLACK];39 590 ₸
Система жидкостного охлаждения для CPU Thermaltake TH360 ARGB Sync Black [CL-W300-PL12SW-A];47 990 ₸
Кейс 2E GAMING Galaxy G2055 MidTower, window, Black ATX (2E-G2055);20 590 ₸
Блок питания 1050W Gamemax RGB1050 PRO BK Gold ATX 80+ Gold [RGB1050 PRO BK Gold];45 590 ₸
Трубка Bykski B-PETGW (12mm, 1m);1 090 ₸
Фитинг удлинитель резьбовой Bykski B-EXJ-25 (25мм, Размер резьбы: G1/4, White);1 190 ₸
Кулер для кейса Formula V FLOE 12BK ARPW ARGB Black [FLOE 12BK ARPW];10 000 ₸
Блок питания 1000W Chieftec PROTON ATX 80 PLUS Bronze 20+4pin, 2x4+4pin (BDF-1000C);68 990 ₸
Водоблок для CPU Bykski CPU-XPR-A-MC-V3 Silver (RGB);22 990 ₸
ПК корпус Corsair 7000D AIRFLOW FullTower, window, White ATX (CC-9011219-WW);149 990 ₸
Оперативная память DDR4 DIMM 128GB(4x32)/3200Mhz PC4-25600 Corsair Vengeance LPX;157 050 ₸
Водоблок для CPU Bykski CPU-XPR-A-V2 (RGB);18 990 ₸
Кулер для кейса GELID STELLA FROST ARGB [FN-Stella-01];4 590 ₸
Фитинг удлинитель резьбовой Bykski B-EXJ-10 (10мм, Размер резьбы: G1/4, White);790 ₸
Фитинг удлинитель резьбовой Bykski B-EXJ-15 (15мм, Размер резьбы: G1/4, White);990 ₸
Фитинг удлинитель резьбовой Bykski B-EXJ-7.5 (7,5мм, Размер резьбы: G1/4, White);790 ₸
Кронштейн для крепления элементов СЖО Bykski B-BFT-105 <120ММ>;990 ₸
Водоблок для CPU Bykski CPU-XPR-CU-I-V2;31 490 ₸
Процессор Intel Core i3-14100 (C4/8T, 12M Cache, 3.5 up to 4.7 GHz) LGA1700 OEM;79 550 ₸
ПК корпус Jonsbo MOD3 MidTower, window, White EATX (MOD3 White);199 990 ₸
Двойная муфта-удлинитель Bykski B-DTJ-MI White (для адаптации фитинга с внутр резьбой к фитингу с вн;790 ₸
Панель для кейса + помпа CP-PMD3COV-X Bykski RGV-TT-P5-P (для кейсов Thermaltake CORE P5);69 490 ₸
ПК корпус 2Е Gaming VERTEX MidTower, window, White EATX (2E-GI01W);40 990 ₸
Процессор Intel Core i3-14100F (C4/8T, 12M Cache, 3.5 up to 4.7 GHz) LGA1700 OEM;64 900 ₸
Фитинг многонаправленный поворотный Granzon GD-X (G1/4, Silver);5 690 ₸
