name,price
Игровая гарнитура A4Tech Bloody G530,16 390 ₸
"Компьютерная сумка SUMDEX CKN 008 черный 15.6""",20 290 ₸
Игровая гарнитура Edifier G2 II White,19 990 ₸
Карта памяти TRANSCEND MicroSD 32GB (TS32GUSD300S) U1,4 190 ₸
Игровая гарнитура A4Tech Bloody M590i Sports Lime,19 990 ₸
Мышка игровая LOGITECH G PRO X SUPERLIGHT 2 DEX - WHITE,94 990 ₸
Адаптер питания для ноутбуков HP W5D55AA Smart Power (90 Вт),17 990 ₸
Стабилизатор SVC WL-1000,13 990 ₸
"UPS SVC UPS, SVC, V-1200-L-LCD, , USB, Мощность 1200ВА/720Вт, Диапазон работы AVR: 165-275В, Бат.: 12В/7 Ач*2шт., 3 вых.: Shuko CEE7 , Чёрный",51 990 ₸
Внешний накопитель HDD 2.5 TRANSCEND H3 4 TB (TS4TSJ25H3P),92 590 ₸
UPS SVC SVC V-650-L-LCD,27 990 ₸
Коврик для мышки RED SQUARE Hyperion XXL (RSQ-40056),7 490 ₸
Внутренний накопитель SSD NETAC 128Gb (N600S-128G),12 990 ₸
"Мышка CANYON MW-21, бордово красный",4 490 ₸
Клавиатура BLOODY S98-Naraka,39 390 ₸
Стабилизатор SVC FL-1000,15 990 ₸
Коврик для мышки LENOVO Legion Gaming XL Cloth Mouse Pad,4 690 ₸
"Компьютерная сумка RIVA 8930 15.6""(черный)",19 990 ₸
Игровая гарнитура A4Tech Bloody G600i,18 990 ₸
"Клавиатура CANYON Cometstrike GK-50, чёрная",17 990 ₸
Мышка игровая BLOODY W63Max Proxy Boom,12 390 ₸
Стабилизатор SVC FL-1000,15 990 ₸
Коврик для мышки LENOVO Legion Gaming XL Cloth Mouse Pad,4 690 ₸
"Компьютерная сумка RIVA 8930 15.6""(черный)",19 990 ₸
Клавиатура BLOODY S98-Naraka,39 390 ₸
"Клавиатура CANYON Cometstrike GK-50, чёрная",17 990 ₸
Мышка игровая BLOODY W63Max Proxy Boom,12 390 ₸
Внешний накопитель HDD 2.5 TRANSCEND 1TB TS1TSJ25C3S,49 890 ₸
Сетевой фильтр DEFENDER ES 3.0 (5розеток 3м) черный,3 990 ₸
"Адаптер Digital AV CANYON DS-13, космический серый",24 990 ₸
Мышка игровая LOGITECH G102 Gaming Optical USB LIGHTSYNC lilac,16 990 ₸
"Компьютерная сумка CONTINENT CC 100 для 15,6""-16""",6 990 ₸
UPS SVC V600 L,22 990 ₸
Карта памяти KINGSTON 64Gb SDCS2/64GB Class 10 UHS-I (SD адаптер),4 590 ₸
"Компьютерная сумка SUMDEX PNA-401BK MAC 16""",13 990 ₸
Мышка игровая LOGITECH G502 X Corded Gaming Mouse-WHITE - USB - EWR2,52 990 ₸
Коврик для мышки RED SQUARE Nami XXL (RSQ-40044),8 490 ₸
"Компьютерная сумка RIVA 7931 black 15.6""",15 990 ₸
"Компьютерная сумка RIVA 8720 13,3"" (grey)",11 790 ₸
Стабилизатор TEPLOCOM ST-222/500,21 980 ₸
Коврик для мышки BLOODY RGB MP80N,12 690 ₸
Мышка игровая ZOWIE EC1-C 9H.N39BA.A2E,42 990 ₸
Игровая гарнитура LENOVO Lenovo Legion H500 Stereo Gaming Headset,28 480 ₸
Клавиатура TRUST GXT 838 AZOR +мышь,9 690 ₸
Стабилизатор TEPLOCOM ST-888-И,42 980 ₸
"Компьютерная сумка RIVA 7931 black 15.6""",15 990 ₸
Коврик для мышки X Game League Legends 295 x 770 x 4mm,4 590 ₸
Гарнитура для ПК A4Tech HU-30 USB,7 290 ₸
Стабилизаторы Белой техники РЕСАНТА АСН-1 000 Н2/1-Ц,28 690 ₸
"Сетевой фильтр ЭРА USF-5es-3m-W (белый) с заземл, 3x0,75мм2, с выкл, 5гн, 3м",4 990 ₸
WEB камера LOGITECH Webcam C922 Pro Stream Webcam EMEA L960-001088,78 490 ₸
Клавиатура LOGITECH POP Keys HEARTBREAKER ROSE,53 990 ₸
Мышка LOGITECH Pebble M350 Wireless Mouse SAND,10 990 ₸
Настольный микрофон HYPERX 4P5P7AA (HMIQ1S-XX-RG/G) QuadCast S,99 990 ₸
Игровая гарнитура HYPERX 4P5L7AX#ARL (HX-HSCS-BK/EE) Cloud Stinger,32 990 ₸
Мышка игровая STEELSERIES Aerox 3 62599 черный,34 900 ₸
Мышка игровая LOGITECH G PRO X SUPERLIGHT 2 DEX - PINK,94 990 ₸
Колонки MICROLAB M 700 USB&SD (2.1),32 990 ₸
Колонки MICROLAB U210,9 590 ₸
Клавиатура BLOODY B2278,16 390 ₸
Мышка LOGITECH M650L Signature Bluetooth Mouse - GRAPHITE,19 490 ₸
"Компьютерная сумка RIVA 8335 15.6"" Black",16 990 ₸
Коврик для мышки STEELSERIES QCK Prism Cloth - 3XL 1220x590x4 мм,55 900 ₸
Мышка игровая LOGITECH G PRO X SUPERLIGHT 2 DEX - BLACK,94 990 ₸
Колонки SVEN 130 2.0,4 590 ₸
"Коврик для мышки X Game Shadow (Extra Large), 295 x 770 x 4мм",4 590 ₸
Гарнитура для ПК A4Tech HS-50,6 090 ₸
Колонки SVEN MS 2050 черный,42 990 ₸
Клавиатура KINGSTON HyperX Alloy Origins 60 HKBO1S-RB-RU/G,49 990 ₸
Мышка игровая LOGITECH G502 X Corded Gaming Mouse-BLACK - USB - EWR2,35 990 ₸
Игровая гарнитура LENOVO Legion H110 (GXD1P46879),13 290 ₸
Оптический привод TRANSCEND TS8XDVDS-K (Black),22 590 ₸
Игровая гарнитура A4Tech Bloody G500,14 990 ₸
